	CS	ADM	=hyperlink("http://magicweb/dts/REQUESTS/CS/ADM/8983.htm",8983)	Send Patient Language and Ethnicity in Outbound ADT Messages	Rejected	3		6.07R			01/21/2015										
	CS	MIS	=hyperlink("http://magicweb/dts/REQUESTS/CS/MIS/12637.htm",12637)	10401: Patient OID not sent in correct slot in IDR record	6.1-Rejected	4		6.1R, 6.12R, 6.13R			01/21/2015		11/27/11								
	CS	MIS	=hyperlink("http://magicweb/dts/REQUESTS/CS/MIS/15567.htm",15567)	OM Errors not updating NPR message correctly	6.1-Reclass	4	Y	6.1r, 6.13r		MIS.XI.MSG.view.log, MIS.XIO.focus.om.to.hl7	01/21/2015		12/17/13								
	CS	MIS	=hyperlink("http://magicweb/dts/REQUESTS/CS/MIS/17284.htm",17284)	CDA: Inbound Direct Filing: Check for CCD when receiving plain text	6.1-Rejected	3		6.15R			01/21/2015		09/18/14					Y			
	CS	MIS	=hyperlink("http://magicweb/dts/REQUESTS/CS/MIS/17836.htm",17836)	MG MRI Full Demo Infce for Migrations Fail-Reading in the MGMRIFULLDEMO Inbox	6.1-Rejected	3		6.1R, 6.13R, 6.14R, 6.15R			01/21/2015										
	CS	MIS	=hyperlink("http://magicweb/dts/REQUESTS/CS/MIS/18047.htm",18047)	MFN: User Name Sent Incorrectly In STF|4	Reclass	3		6.0r, 6.07r, 6.1r, 6.13r, 6.14r, 6.15r			01/21/2015										
	CS	MIS	=hyperlink("http://magicweb/dts/REQUESTS/CS/MIS/18059.htm",18059)	CCD: Medication Route Mnemonic Displayed, Not Description	Reclass	3		6.07r			01/21/2015										
	CS	RAD	=hyperlink("http://magicweb/dts/REQUESTS/CS/RAD/5079.htm",5079)	OV and Imported Reports do not file when Ask Cosign for doctor is B or R	6.1-Rejected	3		6.12R		RAD.RES.xi.file.hl7.comp, RAD.RES.xi.file.report	01/21/2015		08/20/10								
	FOC	MIS	=hyperlink("http://magicweb/dts/REQUESTS/FOC/MIS/6303.htm",6303)	INFCE - No wizard to set up 6.1 CCD ADT connection	6.1-Reclass	3	Y	6.1r, 6.13r, 6.14r		MisXoConn.InitConnections.AskAdtNumFeeds.K, MisXoConn.InitConnections.D, MisXoConn.InitConnections.S	01/21/2015							Y			
	FOC	MIS	=hyperlink("http://magicweb/dts/REQUESTS/FOC/MIS/7248.htm",7248)	Syndromic Surveillance Blood Pressure Query Not Always Sent	6.1-Reclass	3		6.1r, 6.13r, 6.14r, 6.15r			01/21/2015		09/18/14						Y		
	FOC	REG	=hyperlink("http://magicweb/dts/REQUESTS/FOC/REG/2032.htm",2032)	REG ADT IN: Can not delete insurances from the interface	6.1-Rejected	3		6.1R, 6.12R			01/21/2015										
	FOC	REG	=hyperlink("http://magicweb/dts/REQUESTS/FOC/REG/3030.htm",3030)	INFCE: NK1.10, 13, 34 and IN1.8,9,12,36 do not generate on REGADT	6.1-Reclass	3		6.13r			01/21/2015										
	FOC	REG	=hyperlink("http://magicweb/dts/REQUESTS/FOC/REG/3852.htm",3852)	INFCE - Send additional information in outbound REG ADT messages (6.1)	6.1-Rejected	3		6.1R, 6.13R, 6.14R, 6.15R			01/21/2015		11/20/14								
	FOC	REG	=hyperlink("http://magicweb/dts/REQUESTS/FOC/REG/3853.htm",3853)	INFCE - File additional information via inbound REG ADT connection (6.1)	6.1-Rejected	3		6.13R			01/21/2015										
	FOC	REG	=hyperlink("http://magicweb/dts/REQUESTS/FOC/REG/3944.htm",3944)	INFCE - Changes to allow per-field suppression of PID segments for MU2	6.1-Rejected	3		6.13R			01/21/2015								Y		
	FOC	REG	=hyperlink("http://magicweb/dts/REQUESTS/FOC/REG/4130.htm",4130)	OV ADT OUT - Utilize HL7 Provider ID Type parameter	6.1-Rejected	3		6.1R, 6.14R, 6.15R			01/21/2015										
